== TP {'1-2': 196, '3': 100, '4-5': 318}
theme                                       1-2            3          4-5
confort (positif)                    21 (  11%)   20 (  20%)  102 (  32%)
inconfort / mal dormi                 8 (   4%)    2 (   2%)    0 (   0%)
hauteur / epaisseur                  15 (   8%)   12 (  12%)    4 (   1%)
fermete (dur / mou)                  13 (   7%)   16 (  16%)   14 (   4%)
odeur                                11 (   6%)    6 (   6%)    9 (   3%)
chaleur / fraicheur                   6 (   3%)    4 (   4%)    6 (   2%)
taille / dimensions / taie           14 (   7%)    7 (   7%)   10 (   3%)
douleurs (cou, dos, epaules)         31 (  16%)   26 (  26%)  109 (  34%)
temps d adaptation                   12 (   6%)   19 (  19%)   39 (  12%)
livraison / delais                  130 (  66%)   51 (  51%)  116 (  36%)
non recu / commande incomplete       36 (  18%)    9 (   9%)    6 (   2%)
retour / remboursement              112 (  57%)   19 (  19%)    5 (   2%)
service client                       95 (  48%)   14 (  14%)   23 (   7%)
qualite percue                       28 (  14%)   10 (  10%)   50 (  16%)
prix / valeur                        40 (  20%)    8 (   8%)   17 (   5%)
origine / chine / dropshipping       30 (  15%)    7 (   7%)    1 (   0%)
conformite a l annonce               39 (  20%)    9 (   9%)   18 (   6%)
arnaque / fraude                     65 (  33%)    7 (   7%)    1 (   0%)
faux avis / avis supprimes            6 (   3%)    0 (   0%)    0 (   0%)
emballage / compression               6 (   3%)    3 (   3%)    3 (   1%)
housse                               17 (   9%)    5 (   5%)   17 (   5%)
suivi de colis                       16 (   8%)    2 (   2%)    5 (   2%)
recommande                           19 (  10%)    5 (   5%)   45 (  14%)
== LOOX {'1-2': 99, '3': 54, '4-5': 486}
theme                                       1-2            3          4-5
confort (positif)                    11 (  11%)    3 (   6%)  133 (  27%)
inconfort / mal dormi                 6 (   6%)    0 (   0%)    1 (   0%)
hauteur / epaisseur                  10 (  10%)    0 (   0%)   10 (   2%)
fermete (dur / mou)                   5 (   5%)    5 (   9%)   14 (   3%)
odeur                                 5 (   5%)    0 (   0%)    1 (   0%)
chaleur / fraicheur                   1 (   1%)    2 (   4%)    4 (   1%)
taille / dimensions / taie            7 (   7%)    4 (   7%)   14 (   3%)
douleurs (cou, dos, epaules)         14 (  14%)    9 (  17%)  100 (  21%)
temps d adaptation                    8 (   8%)    6 (  11%)   37 (   8%)
livraison / delais                   27 (  27%)   17 (  31%)   72 (  15%)
non recu / commande incomplete        7 (   7%)    3 (   6%)    1 (   0%)
retour / remboursement               14 (  14%)    5 (   9%)    7 (   1%)
service client                        5 (   5%)    3 (   6%)   10 (   2%)
qualite percue                       12 (  12%)    1 (   2%)   34 (   7%)
prix / valeur                        10 (  10%)    0 (   0%)    7 (   1%)
origine / chine / dropshipping        6 (   6%)    3 (   6%)    2 (   0%)
conformite a l annonce               10 (  10%)    0 (   0%)   14 (   3%)
arnaque / fraude                      5 (   5%)    0 (   0%)    3 (   1%)
faux avis / avis supprimes            0 (   0%)    0 (   0%)    0 (   0%)
emballage / compression               0 (   0%)    1 (   2%)    2 (   0%)
housse                                8 (   8%)    7 (  13%)   39 (   8%)
suivi de colis                        0 (   0%)    0 (   0%)    4 (   1%)
recommande                            2 (   2%)    3 (   6%)   47 (  10%)
