somme	pHash	dHash	aHash	soya	marche
32	16	16	17	/soya2/sourcing/img_soya/enf_15_KIDS_YELLOW_4.png	/soya2/sourcing/img_mkt/comfy_1.img
32	16	16	17	/soya2/sourcing/img_soya/enf_15_KIDS_YELLOW_4.png	/soya_prix/imgs/comfysle_1.img
34	18	16	16	/soya2/sourcing/img_soya/enf_15_KIDS_YELLOW_4.png	/soya2/sourcing/img_mkt/comfy_3.img
34	18	16	24	/soya2/sourcing/img_soya/enf_04_KIDSP1_1.png	/soya_prix/imgs/inphysio_2.img
34	18	16	24	/soya2/sourcing/img_soya/henf_03_KIDSP1_1.png	/soya_prix/imgs/inphysio_2.img
34	20	14	25	/soya2/sourcing/img_soya/enf_11_KIDS_PINK_7.png	/soya_prix/imgs/inphysio_2.img
34	20	14	25	/soya2/sourcing/img_soya/henf_04_KIDS_PINK_7.png	/soya_prix/imgs/inphysio_2.img
35	16	19	19	/soya2/sourcing/img_soya/enf_08_KIDS_PINK_4.png	/soya2/sourcing/img_mkt/comfy_1.img
35	16	19	19	/soya2/sourcing/img_soya/enf_08_KIDS_PINK_4.png	/soya_prix/imgs/comfysle_1.img
35	18	17	17	/soya2/sourcing/img_soya/enf_15_KIDS_YELLOW_4.png	/soya_prix/imgs/comfysle_3.img
37	12	25	36	/soya2/sourcing/img_soya/v2_08_11_bf88b3df-377c-4ddb-b78a-cc7a164e7755.png	/soya2/sourcing/img_mkt/jty_knee_4.webp
38	16	22	20	/soya2/sourcing/img_soya/voy_02_9-Oreiller-de-Voyage-Ergonomique-Soya_img3.webp	/soya2/sourcing/img_mkt/mic_jty_5.webp
38	18	20	17	/soya2/sourcing/img_soya/enf_01_KIDSP1_4.jpg	/soya2/sourcing/img_mkt/comfy_3.img
38	18	20	17	/soya2/sourcing/img_soya/enf_08_KIDS_PINK_4.png	/soya_prix/imgs/comfysle_3.img
38	18	20	18	/soya2/sourcing/img_soya/enf_01_KIDSP1_4.jpg	/soya2/sourcing/img_mkt/comfy_1.img
38	18	20	18	/soya2/sourcing/img_soya/enf_01_KIDSP1_4.jpg	/soya_prix/imgs/comfysle_1.img
