groupe	debut	fin	jours	baisse_unites	unites_par_jour	variantes_en_hausse	politique
Oreiller 3.0 (4 coloris)	2026-04-20T15:07:25Z	2026-06-30T06:21:25Z	70.63	5184	73.4	1	deny
Oreiller 3.0 (4 coloris)	2026-06-30T06:21:25Z	2026-08-03T05:03:27Z	33.95	4093	120.6	1	continue
Oreiller 3.0 (4 coloris)	2026-08-03T05:03:27Z	2026-08-24T09:23:39Z	21.18	3477	164.2	0	continue
Oreiller 3.0 (4 coloris)	2026-08-24T09:23:39Z	2026-09-07T20:06:40Z	14.45	1440	99.7	2	continue
Oreiller 3.0 (4 coloris)	2026-09-07T20:06:40Z	2026-09-26T11:14:52Z	18.63	8595	461.3	0	continue
Housses 3.0 (4 coloris)	2026-04-20T15:07:25Z	2026-06-30T06:21:25Z	70.63	744	10.5	0	continue
Housses 3.0 (4 coloris)	2026-06-30T06:21:25Z	2026-08-03T05:03:27Z	33.95	566	16.7	3	continue
Housses 3.0 (4 coloris)	2026-08-03T05:03:27Z	2026-08-24T09:23:39Z	21.18	657	31.0	1	continue
Housses 3.0 (4 coloris)	2026-08-24T09:23:39Z	2026-09-07T20:06:40Z	14.45	4	0.3	3	continue
Housses 3.0 (4 coloris)	2026-09-07T20:06:40Z	2026-09-26T11:14:52Z	18.63	6037	324.0	0	continue
Oreiller 2.0	2025-10-28T08:00:57Z	2025-12-26T18:53:55Z	59.45	1367	23.0	0	continue
Oreiller 2.0	2025-12-26T18:53:55Z	2025-12-27T23:50:15Z	1.21	223	184.9	0	continue
Oreiller 2.0	2025-12-27T23:50:15Z	2026-02-17T15:48:32Z	51.67	13111	253.8	0	continue
Oreiller 2.0	2026-02-17T15:48:32Z	2026-03-23T04:54:19Z	33.55	6620	197.3	0	continue
Oreiller 2.0	2026-03-23T04:54:19Z	2026-04-20T15:07:25Z	28.43	3747	131.8	0	continue
Oreiller 2.0	2026-04-20T15:07:25Z	2026-09-26T11:15:22Z	158.84	25778	162.3	0	continue
Housse 2.0	2025-10-28T08:00:57Z	2025-11-04T12:10:00Z	7.17	1047	146.0	0	deny
Housse 2.0	2025-11-04T12:10:00Z	2025-12-26T18:53:55Z	52.28	1114	21.3	0	deny
Housse 2.0	2025-12-26T18:53:55Z	2025-12-27T23:50:15Z	1.21	179	148.5	0	deny
Housse 2.0	2025-12-27T23:50:15Z	2026-01-04T23:04:31Z	7.97	1371	172.1	0	deny
Housse 2.0	2026-01-04T23:04:31Z	2026-01-11T03:19:31Z	6.18	1260	204.0	0	deny
Housse 2.0	2026-01-11T03:19:31Z	2026-01-27T18:53:51Z	16.65	3746	225.0	0	deny
Housse 2.0	2026-01-27T18:53:51Z	2026-01-28T23:05:57Z	1.18	304	258.7	0	deny
Housse 2.0	2026-01-28T23:05:57Z	2026-02-17T15:48:32Z	19.7	4187	212.6	0	deny
Housse 2.0	2026-02-17T15:48:32Z	2026-02-18T08:48:35Z	0.71	100	141.2	0	deny
Housse 2.0	2026-02-18T08:48:35Z	2026-03-23T04:54:19Z	32.84	5312	161.8	0	deny
Housse 2.0	2026-03-23T04:54:19Z	2026-04-20T15:07:25Z	28.43	3075	108.2	0	deny
Housse 2.0	2026-04-20T15:07:25Z	2026-09-07T20:06:40Z	140.21	18056	128.8	0	deny
Housse 2.0	2026-09-07T20:06:40Z	2026-09-26T11:15:22Z	18.63	2575	138.2	0	continue
Coussin lombaire	2025-10-29T13:39:38Z	2025-12-22T10:20:48Z	53.86	92	1.7	0	deny
Coussin lombaire	2025-12-22T10:20:48Z	2025-12-29T10:14:28Z	7.0	298	42.6	0	deny
Coussin lombaire	2025-12-29T10:14:28Z	2026-02-15T21:23:06Z	48.46	2902	59.9	0	deny
Coussin lombaire	2026-02-15T21:23:06Z	2026-03-08T15:05:35Z	20.74	948	45.7	0	deny
Coussin lombaire	2026-03-08T15:05:35Z	2026-06-06T22:44:04Z	90.32	3696	40.9	0	deny
Coussin lombaire	2026-06-06T22:44:04Z	2026-09-07T20:06:40Z	92.89	5027	54.1	0	deny
Coussin lombaire	2026-09-07T20:06:40Z	2026-09-26T09:48:03Z	18.57	1252	67.4	0	continue
